JOB|-2007_-1451_3038
HIDE|SM_Upper_Window_02_3m_Glass|-2550.0,-2435.9,1722.5
HIDE|SM_Upper_Window_02_3m_Glass|-2850.0,-2435.9,1722.5
HIDE|SM_Upper_Window_01_4m|-1610.3,-1850.0,2025.0
HIDE|SM_Upper_Window_01_1m|-1607.8,-2100.0,2025.0
HIDE|SM_Upper_Window_02_3m|-2250.0,-2439.6,2025.0
HIDE|SM_Upper_Window_02_3m|-2550.0,-2439.6,2025.0
HIDE|SM_Upper_Window_02_3m|-2850.0,-2439.6,2025.0
HIDE|SM_Upper_Window_01_1m_Corner_90|-1648.3,-2201.7,2025.0
HIDE|SM_Upper_Window_01_4m_Glass|-1617.1,-1850.5,2072.5
HIDE|SM_Upper_Window_01_1m_Glass|-1617.1,-2100.1,2072.5
HIDE|SM_Upper_Window_02_3m_Glass|-2550.0,-2435.9,2072.5
HIDE|SM_Upper_Window_02_3m_Glass|-2850.0,-2435.9,2072.5
HIDE|SM_Upper_Window_01_4m|-1610.3,-1850.0,2375.0
HIDE|SM_Upper_Window_01_1m|-1607.8,-2100.0,2375.0
HIDE|SM_Upper_Window_02_3m|-2250.0,-2439.6,2375.0
HIDE|SM_Upper_Window_02_3m|-2550.0,-2439.6,2375.0
HIDE|SM_Upper_Window_02_3m|-2850.0,-2439.6,2375.0
HIDE|SM_Upper_Window_01_1m_Corner_90|-1648.3,-2201.7,2375.0
HIDE|SM_Upper_Window_01_4m_Glass|-1617.1,-1850.5,2422.5
HIDE|SM_Upper_Window_01_1m_Glass|-1617.1,-2100.1,2422.5
HIDE|SM_Upper_Window_02_3m_Glass|-2550.0,-2435.9,2422.5
HIDE|SM_Upper_Window_02_3m_Glass|-2850.0,-2435.9,2422.5
JOB|-3084_-719_892
HIDE|SM_Upper_Window_03_2m|-3250.0,-660.4,975.0
HIDE|SM_Upper_Window_04_4m|-3550.0,-660.4,975.0
HIDE|SM_Upper_Window_04_4m|-3950.0,-660.4,975.0
HIDE|SM_Upper_Window_03_2m|-3250.0,-660.4,1325.0
HIDE|SM_Upper_Window_04_4m|-3550.0,-660.4,1325.0
HIDE|SM_Upper_Window_04_4m|-3950.0,-660.4,1325.0
HIDE|SM_Upper_Window_03_2m|-3250.0,-660.4,1675.0
HIDE|SM_Upper_Window_04_4m|-3550.0,-660.4,1675.0
HIDE|SM_Upper_Window_04_4m|-3950.0,-660.4,1675.0
JOB|-3084_-719_2688
HIDE|SM_Upper_Window_03_2m|-3250.0,-660.4,2375.0
HIDE|SM_Upper_Window_04_4m|-3550.0,-660.4,2375.0
HIDE|SM_Upper_Window_04_4m|-3950.0,-660.4,2375.0
